bg_key,cell_line,score,type
PANC-1__WT1,PANC-1,0.9997334,generated
PANC-1__WT2,PANC-1,0.9968426,generated
PANC-1__OE3,PANC-1,0.89744925,generated
PANC-1__WT2,PANC-1,0.9985336,generated
Hela__WT1,Hela,0.9999094,generated
Hela__KO3,Hela,0.9991697,generated
PANC-1__WT3,PANC-1,0.9972459,generated
PANC-1__WT2,PANC-1,0.9955793,generated
Hela__KO2,Hela,0.9998939,generated
Hela__WT3,Hela,0.9991279,generated
Hela__KO2,Hela,0.99784946,generated
PANC-1__WT2,PANC-1,0.99837554,generated
Hela__KO1,Hela,0.9995486,generated
PANC-1__WT3,PANC-1,0.9980939,generated
PANC-1__OE1,PANC-1,0.99974984,generated
PANC-1__OE3,PANC-1,0.9950034,generated
PANC-1__WT1,PANC-1,0.9996897,generated
Hela__KO3,Hela,0.9997594,generated
Hela__WT2,Hela,0.99808985,generated
PANC-1__OE3,PANC-1,0.99579066,generated
PANC-1__WT2,PANC-1,0.9968321,generated
PANC-1__OE2,PANC-1,0.9881281,generated
Hela__WT1,Hela,0.9999285,generated
PANC-1__OE2,PANC-1,0.9959214,generated
PANC-1__WT2,PANC-1,0.99793637,generated
Hela__KO2,Hela,0.9905654,generated
PANC-1__WT1,PANC-1,0.99576306,generated
Hela__KO3,Hela,0.99995506,generated
PANC-1__OE1,PANC-1,0.9995559,generated
Hela__WT1,Hela,0.9981476,generated
PANC-1__OE2,PANC-1,0.9156071,generated
Hela__WT1,Hela,0.9997079,generated
Hela__KO2,Hela,0.99942696,generated
Hela__WT3,Hela,0.99900526,generated
PANC-1__WT3,PANC-1,0.98697144,generated
Hela__WT1,Hela,0.99942493,generated
PANC-1__WT3,PANC-1,0.96704584,generated
PANC-1__OE2,PANC-1,0.9932447,generated
Hela__KO2,Hela,0.9993794,generated
Hela__WT1,Hela,0.9995735,generated
PANC-1__WT2,PANC-1,0.9992379,generated
PANC-1__OE2,PANC-1,0.9936028,generated
PANC-1__WT2,PANC-1,0.99848795,generated
Hela__KO1,Hela,0.999668,generated
Hela__KO1,Hela,0.9999038,generated
PANC-1__OE3,PANC-1,0.98604465,generated
PANC-1__OE1,PANC-1,0.9788366,generated
Hela__KO3,Hela,0.9992931,generated
Hela__KO3,Hela,0.99986136,generated
Hela__KO1,Hela,0.99982363,generated
Hela__WT2,Hela,0.99975806,generated
Hela__KO2,Hela,0.99980336,generated
Hela__KO1,Hela,0.9999454,generated
Hela__WT2,Hela,0.99758685,generated
Hela__KO3,Hela,0.99959093,generated
PANC-1__WT3,PANC-1,0.9958978,generated
Hela__KO3,Hela,0.9999132,generated
Hela__KO1,Hela,0.99965644,generated
Hela__KO3,Hela,0.996887,generated
Hela__WT2,Hela,0.99933124,generated
Hela__KO3,Hela,0.9987991,generated
Hela__KO1,Hela,0.99516886,generated
Hela__WT2,Hela,0.99997234,generated
PANC-1__OE3,PANC-1,0.99158317,generated
PANC-1__OE1,PANC-1,0.99960524,generated
PANC-1__WT1,PANC-1,0.995789,generated
Hela__WT1,Hela,0.99961543,generated
Hela__WT2,Hela,0.99972147,generated
Hela__WT1,Hela,0.99984944,generated
PANC-1__OE3,PANC-1,0.9995049,generated
PANC-1__WT3,PANC-1,0.9228349,generated
Hela__KO2,Hela,0.9996117,generated
PANC-1__WT2,PANC-1,0.9998518,generated
Hela__WT3,Hela,0.99797004,generated
PANC-1__WT1,PANC-1,0.9761481,generated
Hela__KO1,Hela,0.999752,generated
Hela__KO1,Hela,0.9998041,generated
PANC-1__WT1,PANC-1,0.9956065,generated
Hela__KO3,Hela,0.9993075,generated
Hela__WT3,Hela,0.99986434,generated
Hela__WT2,Hela,0.99753845,generated
Hela__KO1,Hela,0.9998417,generated
PANC-1__OE3,PANC-1,0.9999275,generated
PANC-1__WT3,PANC-1,0.9976165,generated
PANC-1__WT1,PANC-1,0.9885605,generated
PANC-1__OE1,PANC-1,0.9994481,generated
PANC-1__OE1,PANC-1,0.999752,generated
PANC-1__WT1,PANC-1,0.99949753,generated
Hela__KO2,Hela,0.99770385,generated
Hela__KO3,Hela,0.9998784,generated
PANC-1__OE1,PANC-1,0.9939466,generated
Hela__WT2,Hela,0.99993753,generated
PANC-1__OE1,PANC-1,0.99950206,generated
PANC-1__OE1,PANC-1,0.9977653,generated
PANC-1__OE1,PANC-1,0.98923826,generated
Hela__KO2,Hela,0.999276,generated
Hela__KO2,Hela,0.9994942,generated
PANC-1__WT3,PANC-1,0.9975184,generated
Hela__WT2,Hela,0.99982435,generated
Hela__KO1,Hela,0.9976211,generated
Hela__KO1,Hela,0.999424,generated
PANC-1__OE3,PANC-1,0.9901579,generated
Hela__KO2,Hela,0.99983346,generated
PANC-1__WT2,PANC-1,0.9998454,generated
Hela__WT3,Hela,0.9996551,generated
Hela__WT1,Hela,0.9998394,generated
PANC-1__OE1,PANC-1,0.99978656,generated
Hela__WT3,Hela,0.9999566,generated
Hela__WT2,Hela,0.9998324,generated
PANC-1__WT1,PANC-1,0.99962974,generated
Hela__KO2,Hela,0.99984884,generated
Hela__WT3,Hela,0.99994016,generated
PANC-1__WT3,PANC-1,0.9934411,generated
Hela__KO1,Hela,0.99968207,generated
Hela__WT3,Hela,0.9853688,generated
Hela__KO3,Hela,0.9999689,generated
PANC-1__WT1,PANC-1,0.9998547,generated
Hela__WT1,Hela,0.99910647,generated
PANC-1__OE3,PANC-1,0.9990748,generated
Hela__KO3,Hela,0.9994517,generated
PANC-1__OE3,PANC-1,0.9998274,generated
PANC-1__WT1,PANC-1,0.99654526,generated
PANC-1__WT1,PANC-1,0.99916255,generated
Hela__KO1,Hela,0.99989367,generated
PANC-1__OE2,PANC-1,0.9934077,generated
Hela__KO1,Hela,0.99817526,generated
PANC-1__OE2,PANC-1,0.999355,generated
Hela__KO3,Hela,0.9949885,generated
PANC-1__WT1,PANC-1,0.9936098,generated
PANC-1__OE1,PANC-1,0.9995771,generated
Hela__KO2,Hela,0.99963367,generated
Hela__KO1,Hela,0.9997056,generated
Hela__WT2,Hela,0.9997141,generated
Hela__WT2,Hela,0.99854666,generated
Hela__KO3,Hela,0.998958,generated
PANC-1__OE3,PANC-1,0.99637777,generated
Hela__KO3,Hela,0.99994755,generated
PANC-1__WT1,PANC-1,0.9998149,generated
PANC-1__WT3,PANC-1,0.99403185,generated
Hela__KO1,Hela,0.9997402,generated
PANC-1__WT1,PANC-1,0.78908056,generated
PANC-1__OE1,PANC-1,0.99601966,generated
Hela__WT1,Hela,0.99976367,generated
Hela__WT3,Hela,0.9994512,generated
PANC-1__WT1,PANC-1,0.99908996,generated
Hela__KO3,Hela,0.99990785,generated
Hela__KO3,Hela,0.99977475,generated
PANC-1__OE2,PANC-1,0.99956197,generated
PANC-1__OE2,PANC-1,0.99931717,generated
Hela__KO2,Hela,0.9992957,generated
PANC-1__WT3,PANC-1,0.982926,generated
Hela__KO3,Hela,0.9997731,generated
Hela__WT1,Hela,0.99677074,generated
Hela__KO1,Hela,0.9994916,generated
Hela__WT1,Hela,0.9991177,generated
Hela__KO1,Hela,0.99902475,generated
PANC-1__WT2,PANC-1,0.99588096,generated
PANC-1__WT1,PANC-1,0.9993593,generated
Hela__KO3,Hela,0.99875546,generated
PANC-1__OE1,PANC-1,0.99979335,generated
Hela__KO1,Hela,0.9998652,generated
PANC-1__OE3,PANC-1,0.9999163,generated
PANC-1__WT3,PANC-1,0.969749,generated
PANC-1__WT3,PANC-1,0.99758613,generated
Hela__WT3,Hela,0.99901676,generated
Hela__WT3,Hela,0.9995931,generated
PANC-1__OE3,PANC-1,0.9957832,generated
PANC-1__WT3,PANC-1,0.99848795,generated
Hela__KO2,Hela,0.9998802,generated
PANC-1__WT2,PANC-1,0.9995332,generated
Hela__KO1,Hela,0.9999044,generated
Hela__KO1,Hela,0.9754588,generated
Hela__WT2,Hela,0.99784756,generated
PANC-1__OE3,PANC-1,0.9998185,generated
Hela__WT1,Hela,0.99977845,generated
Hela__KO3,Hela,0.99980384,generated
PANC-1__OE1,PANC-1,0.9997422,generated
PANC-1__OE1,PANC-1,0.97768825,generated
PANC-1__WT2,PANC-1,0.9989513,generated
Hela__WT3,Hela,0.9998072,generated
Hela__KO3,Hela,0.99915755,generated
Hela__WT2,Hela,0.9999157,generated
PANC-1__OE1,PANC-1,0.9998016,generated
PANC-1__WT2,PANC-1,0.9881848,generated
Hela__KO3,Hela,0.9999355,generated
Hela__KO1,Hela,0.9998952,generated
PANC-1__WT1,PANC-1,0.9988869,generated
PANC-1__WT2,PANC-1,0.95900255,generated
Hela__KO1,Hela,0.9999472,generated
Hela__KO3,Hela,0.9996321,generated
PANC-1__OE2,PANC-1,0.97955656,generated
PANC-1__WT3,PANC-1,0.99925405,generated
Hela__KO3,Hela,0.99972874,generated
PANC-1__OE2,PANC-1,0.9996069,generated
PANC-1__WT3,PANC-1,0.99957997,generated
Hela__KO2,Hela,0.99992824,generated
Hela__KO2,Hela,0.9980988,generated
PANC-1__OE1,PANC-1,0.9997894,generated
Hela__KO1,Hela,0.99967086,generated
PANC-1__WT3,PANC-1,0.99335915,generated
Hela__KO3,Hela,0.9995666,generated
PANC-1__OE2,PANC-1,0.66618097,generated
Hela__WT1,Hela,0.99986994,generated
PANC-1__WT1,PANC-1,0.9983411,generated
Hela__KO1,Hela,0.9853387,generated
PANC-1__OE3,PANC-1,0.99927694,generated
Hela__KO2,Hela,0.9975624,generated
Hela__KO2,Hela,0.99891484,generated
PANC-1__WT3,PANC-1,0.9904128,generated
PANC-1__OE3,PANC-1,0.99850357,generated
PANC-1__WT3,PANC-1,0.9999279,generated
PANC-1__WT3,PANC-1,0.99807584,generated
PANC-1__OE1,PANC-1,0.9998412,generated
PANC-1__WT1,PANC-1,0.99400723,generated
Hela__WT3,Hela,0.99956316,generated
PANC-1__WT3,PANC-1,0.99019533,generated
Hela__WT2,Hela,0.99953365,generated
Hela__KO1,Hela,0.9966983,generated
PANC-1__WT2,PANC-1,0.9989447,generated
Hela__WT2,Hela,0.99653035,generated
Hela__WT1,Hela,0.99973804,generated
Hela__WT3,Hela,0.9991831,generated
PANC-1__WT1,PANC-1,0.99908626,generated
Hela__KO3,Hela,0.9998048,generated
PANC-1__WT1,PANC-1,0.9971271,generated
PANC-1__OE2,PANC-1,0.99644536,generated
PANC-1__OE3,PANC-1,0.9994276,generated
PANC-1__OE1,PANC-1,0.9998797,generated
PANC-1__OE3,PANC-1,0.9977291,generated
Hela__WT2,Hela,0.9999199,generated
PANC-1__WT2,PANC-1,0.98942286,generated
PANC-1__WT2,PANC-1,0.9996637,generated
Hela__KO1,Hela,0.99789894,generated
Hela__KO1,Hela,0.99983585,generated
Hela__KO2,Hela,0.9994412,generated
PANC-1__WT3,PANC-1,0.9978339,generated
PANC-1__WT2,PANC-1,0.9978097,generated
Hela__KO1,Hela,0.99918526,generated
Hela__WT2,Hela,0.9992343,generated
PANC-1__WT3,PANC-1,0.99976236,generated
Hela__KO3,Hela,0.9986284,generated
PANC-1__OE3,PANC-1,0.99933344,generated
Hela__WT2,Hela,0.99966216,generated
PANC-1__WT3,PANC-1,0.9973814,generated
Hela__WT2,Hela,0.9996722,generated
PANC-1__OE1,PANC-1,0.9903286,generated
PANC-1__WT1,PANC-1,0.9994898,generated
Hela__WT2,Hela,0.9999372,generated
PANC-1__WT2,PANC-1,0.9994856,generated
Hela__WT1,Hela,0.99915934,generated
Hela__KO1,Hela,0.9856661,generated
Hela__WT2,Hela,0.99978787,generated
PANC-1__WT3,PANC-1,0.99510056,generated
Hela__WT2,Hela,0.99996305,generated
Hela__WT1,Hela,0.99969065,generated
Hela__KO2,Hela,0.9998454,generated
PANC-1__WT1,PANC-1,0.9988009,generated
PANC-1__OE3,PANC-1,0.9999547,generated
Hela__KO1,Hela,0.9996989,generated
Hela__WT2,Hela,0.99979895,generated
Hela__WT1,Hela,0.9999018,generated
Hela__KO2,Hela,0.99993217,generated
PANC-1__OE1,PANC-1,0.998811,generated
PANC-1__WT1,PANC-1,0.98930794,generated
PANC-1__OE2,PANC-1,0.99917287,generated
Hela__KO3,Hela,0.99983907,generated
Hela__KO1,Hela,0.999252,generated
Hela__KO1,Hela,0.9994462,generated
PANC-1__OE3,PANC-1,0.9997763,generated
Hela__WT2,Hela,0.9997732,generated
Hela__KO3,Hela,0.9923499,generated
Hela__KO1,Hela,0.9996309,generated
Hela__KO1,Hela,0.99988973,generated
Hela__KO2,Hela,0.99929047,generated
PANC-1__OE3,PANC-1,0.99955744,generated
PANC-1__OE2,PANC-1,0.99851936,generated
Hela__KO3,Hela,0.99975353,generated
PANC-1__OE1,PANC-1,0.9994399,generated
Hela__KO2,Hela,0.9999589,generated
PANC-1__OE3,PANC-1,0.99296194,generated
Hela__WT1,Hela,0.99985206,generated
PANC-1__WT2,PANC-1,0.9994778,generated
PANC-1__OE2,PANC-1,0.9980617,generated
Hela__WT1,Hela,0.9998136,generated
PANC-1__WT2,PANC-1,0.99908173,generated
Hela__WT1,Hela,0.99959296,generated
Hela__WT2,Hela,0.9998504,generated
Hela__KO3,Hela,0.9995956,generated
PANC-1__OE1,PANC-1,0.99311197,generated
Hela__KO3,Hela,0.99968827,generated
Hela__WT1,Hela,0.9983543,generated
PANC-1__OE2,PANC-1,0.9826056,generated
PANC-1__OE1,PANC-1,0.9982607,generated
Hela__WT2,Hela,0.99982613,generated
PANC-1__OE1,PANC-1,0.94254786,generated
Hela__KO3,Hela,0.9998667,generated
PANC-1__OE1,PANC-1,0.9992505,generated
PANC-1__OE1,PANC-1,0.99769944,generated
PANC-1__WT1,PANC-1,0.99965155,generated
PANC-1__WT3,PANC-1,0.99885356,generated
PANC-1__OE3,PANC-1,0.98910517,generated
PANC-1__OE1,PANC-1,0.99935824,generated
Hela__WT1,Hela,0.99976724,generated
PANC-1__OE3,PANC-1,0.9989353,generated
PANC-1__WT1,PANC-1,0.99905545,generated
PANC-1__OE3,PANC-1,0.995027,generated
PANC-1__WT2,PANC-1,0.9990171,generated
Hela__WT2,Hela,0.9997626,generated
Hela__KO3,Hela,0.9998758,generated
PANC-1__WT1,PANC-1,0.99844605,generated
PANC-1__WT2,PANC-1,0.9939824,generated
Hela__WT1,Hela,0.99984276,generated
PANC-1__WT2,PANC-1,0.9982333,generated
PANC-1__WT2,PANC-1,0.9949875,generated
Hela__WT2,Hela,0.99776125,generated
Hela__KO3,Hela,0.99963236,generated
PANC-1__OE2,PANC-1,0.99975544,generated
PANC-1__OE1,PANC-1,0.9996631,generated
Hela__WT3,Hela,0.99994695,generated
PANC-1__OE2,PANC-1,0.99071807,generated
Hela__KO2,Hela,0.99979895,generated
Hela__WT2,Hela,0.986733,generated
Hela__WT2,Hela,0.99926025,generated
Hela__WT3,Hela,0.99964046,generated
PANC-1__OE3,PANC-1,0.9986979,generated
Hela__KO1,Hela,0.9997148,generated
PANC-1__WT3,PANC-1,0.99921,generated
PANC-1__WT1,PANC-1,0.999892,generated
PANC-1__OE1,PANC-1,0.99834085,generated
Hela__WT1,Hela,0.99784374,generated
Hela__WT1,Hela,0.9997799,generated
Hela__WT3,Hela,0.999876,generated
PANC-1__OE3,PANC-1,0.9968856,generated
PANC-1__WT3,PANC-1,0.99820673,generated
PANC-1__OE3,PANC-1,0.99973935,generated
Hela__KO3,Hela,0.9996954,generated
PANC-1__OE2,PANC-1,0.9842295,generated
PANC-1__WT1,PANC-1,0.9922984,generated
Hela__KO1,Hela,0.999821,generated
Hela__KO3,Hela,0.99958783,generated
PANC-1__OE1,PANC-1,0.99867046,generated
Hela__KO1,Hela,0.99948394,generated
Hela__WT3,Hela,0.9999521,generated
PANC-1__WT2,PANC-1,0.99318296,generated
Hela__WT3,Hela,0.9997514,generated
PANC-1__WT2,PANC-1,0.9984158,generated
PANC-1__WT3,PANC-1,0.9906432,generated
PANC-1__WT2,PANC-1,0.9964064,generated
Hela__WT2,Hela,0.99979883,generated
Hela__WT1,Hela,0.9926373,generated
Hela__KO3,Hela,0.9996711,generated
PANC-1__OE3,PANC-1,0.99960846,generated
PANC-1__WT1,PANC-1,0.99480516,generated
PANC-1__OE2,PANC-1,0.9998851,generated
PANC-1__OE1,PANC-1,0.99987924,generated
Hela__KO1,Hela,0.99814045,generated
PANC-1__WT2,PANC-1,0.9995666,generated
PANC-1__WT3,PANC-1,0.9996698,generated
PANC-1__WT3,PANC-1,0.99941003,generated
Hela__KO3,Hela,0.999708,generated
Hela__WT3,Hela,0.99991894,generated
PANC-1__WT2,PANC-1,0.99750704,generated
Hela__WT1,Hela,0.9997553,generated
PANC-1__OE2,PANC-1,0.99840975,generated
Hela__WT2,Hela,0.9955994,generated
Hela__WT1,Hela,0.9988324,generated
PANC-1__WT3,PANC-1,0.9920683,generated
PANC-1__OE1,PANC-1,0.99967444,generated
Hela__KO1,Hela,0.99816954,generated
PANC-1__WT2,PANC-1,0.98730147,generated
PANC-1__WT1,PANC-1,0.9975574,generated
Hela__KO3,Hela,0.99988306,generated
Hela__WT3,Hela,0.99991906,generated
PANC-1__OE2,PANC-1,0.99993765,generated
PANC-1__OE3,PANC-1,0.9999529,generated
Hela__WT2,Hela,0.99939466,generated
Hela__KO2,Hela,0.9995222,generated
PANC-1__OE2,PANC-1,0.9999136,generated
Hela__WT2,Hela,0.9936127,generated
Hela__KO1,Hela,0.9990006,generated
PANC-1__WT3,PANC-1,0.99942076,generated
Hela__KO1,Hela,0.9996867,generated
PANC-1__OE2,PANC-1,0.9995968,generated
PANC-1__OE1,PANC-1,0.9933467,generated
PANC-1__WT2,PANC-1,0.99504614,generated
PANC-1__WT3,PANC-1,0.8426128,generated
PANC-1__OE1,PANC-1,0.9982644,generated
Hela__KO1,Hela,0.9999049,generated
Hela__KO2,Hela,0.99917394,generated
Hela__KO3,Hela,0.993923,generated
Hela__KO1,Hela,0.9998136,generated
PANC-1__WT2,PANC-1,0.999398,generated
Hela__WT3,Hela,0.9974316,generated
PANC-1__OE1,PANC-1,0.96142894,generated
Hela__WT2,Hela,0.99981695,generated
Hela__WT2,Hela,0.99974173,generated
Hela__WT3,Hela,0.99456364,generated
Hela__KO3,Hela,0.9966719,generated
PANC-1__WT2,PANC-1,0.99952567,generated
Hela__WT2,Hela,0.9965879,generated
PANC-1__WT2,PANC-1,0.996007,generated
Hela__WT2,Hela,0.9998778,generated
PANC-1__OE3,PANC-1,0.9903245,generated
PANC-1__OE1,PANC-1,0.99980384,generated
PANC-1__WT2,PANC-1,0.98387223,generated
Hela__KO1,Hela,0.9996068,generated
PANC-1__OE3,PANC-1,0.9338943,generated
Hela__WT1,Hela,0.99976677,generated
Hela__KO1,Hela,0.99989104,generated
PANC-1__OE1,PANC-1,0.9967675,generated
Hela__KO2,Hela,0.99976856,generated
Hela__KO2,Hela,0.99988186,generated
PANC-1__WT3,PANC-1,0.9997348,generated
PANC-1__WT3,PANC-1,0.98667485,generated
Hela__KO3,Hela,0.9994023,generated
PANC-1__OE2,PANC-1,0.999089,generated
Hela__KO1,Hela,0.99971694,generated
PANC-1__WT3,PANC-1,0.9987212,generated
Hela__WT2,Hela,0.9997223,generated
PANC-1__OE1,PANC-1,0.9990784,generated
Hela__WT2,Hela,0.99961287,generated
PANC-1__WT2,PANC-1,0.9961526,generated
Hela__KO2,Hela,0.9992887,generated
PANC-1__OE3,PANC-1,0.9971641,generated
Hela__WT3,Hela,0.99310136,generated
Hela__KO2,Hela,0.9995443,generated
Hela__WT3,Hela,0.99987483,generated
PANC-1__OE2,PANC-1,0.97909194,generated
Hela__KO2,Hela,0.99964464,generated
PANC-1__OE2,PANC-1,0.98686427,generated
PANC-1__OE3,PANC-1,0.99634725,generated
Hela__KO2,Hela,0.9991708,generated
PANC-1__WT1,PANC-1,0.9935888,generated
Hela__WT3,Hela,0.99925786,generated
Hela__KO1,Hela,0.9992429,generated
PANC-1__OE3,PANC-1,0.992577,generated
PANC-1__OE1,PANC-1,0.9200485,generated
Hela__WT2,Hela,0.9999567,generated
Hela__WT1,Hela,0.9986914,generated
PANC-1__OE1,PANC-1,0.9977596,generated
PANC-1__OE1,PANC-1,0.99743783,generated
PANC-1__WT1,PANC-1,0.9989213,generated
Hela__WT2,Hela,0.998374,generated
Hela__KO2,Hela,0.9996995,generated
Hela__WT3,Hela,0.999964,generated
PANC-1__WT2,PANC-1,0.9992157,generated
Hela__KO2,Hela,0.9987821,generated
PANC-1__OE3,PANC-1,0.9959708,generated
PANC-1__WT3,PANC-1,0.9953709,generated
Hela__WT1,Hela,0.9998716,generated
Hela__WT1,Hela,0.99968755,generated
Hela__KO3,Hela,0.9998672,generated
Hela__KO3,Hela,0.99888366,generated
PANC-1__OE2,PANC-1,0.9999231,generated
PANC-1__OE3,PANC-1,0.9979804,generated
PANC-1__OE3,PANC-1,0.99900925,generated
PANC-1__WT2,PANC-1,0.99898154,generated
Hela__WT2,Hela,0.9979091,generated
PANC-1__OE2,PANC-1,0.9998419,generated
PANC-1__WT3,PANC-1,0.99807465,generated
PANC-1__WT2,PANC-1,0.99782014,generated
Hela__WT3,Hela,0.99389344,generated
Hela__KO1,Hela,0.9995035,generated
Hela__WT2,Hela,0.99916434,generated
Hela__KO2,Hela,0.9998117,generated
PANC-1__OE1,PANC-1,0.9954007,generated
PANC-1__WT3,PANC-1,0.99758923,generated
PANC-1__OE1,PANC-1,0.9971553,generated
Hela__WT1,Hela,0.99983585,generated
Hela__KO1,Hela,0.9980007,generated
PANC-1__OE1,PANC-1,0.99957913,generated
Hela__KO3,Hela,0.9985123,generated
PANC-1__WT1,PANC-1,0.9984725,generated
PANC-1__WT3,PANC-1,0.9984157,generated
Hela__KO2,Hela,0.9998679,generated
PANC-1__OE3,PANC-1,0.99969554,generated
Hela__KO3,Hela,0.99984694,generated
PANC-1__OE2,PANC-1,0.9998274,generated
Hela__WT3,Hela,0.99926764,generated
Hela__KO3,Hela,0.9998159,generated
PANC-1__OE3,PANC-1,0.99956745,generated
Hela__WT2,Hela,0.99992204,generated
PANC-1__OE1,PANC-1,0.999374,generated
PANC-1__WT3,PANC-1,0.99923515,generated
PANC-1__OE1,PANC-1,0.99972147,generated
PANC-1__WT1,PANC-1,0.999624,generated
Hela__WT1,Hela,0.9996178,generated
Hela__KO3,Hela,0.9992829,generated
PANC-1__OE2,PANC-1,0.99790645,generated
Hela__WT1,Hela,0.9999267,generated
PANC-1__WT3,PANC-1,0.99721414,generated
Hela__KO2,Hela,0.9996902,generated
PANC-1__OE1,PANC-1,0.9997212,generated
PANC-1__OE3,PANC-1,0.99958855,generated
Hela__WT2,Hela,0.9978131,generated
Hela__WT3,Hela,0.99983275,generated
PANC-1__WT1,PANC-1,0.9996815,generated
Hela__KO2,Hela,0.9998865,generated
Hela__WT3,Hela,0.99975175,generated
Hela__WT2,Hela,0.9997743,generated
Hela__KO1,Hela,0.9995432,generated
PANC-1__WT2,PANC-1,0.99854714,generated
PANC-1__WT3,PANC-1,0.99948347,generated
PANC-1__WT2,PANC-1,0.99575186,generated
Hela__WT3,Hela,0.99975103,generated
Hela__WT3,Hela,0.9998661,generated
Hela__WT1,Hela,0.9967873,generated
Hela__KO3,Hela,0.99981767,generated
PANC-1__OE3,PANC-1,0.9984572,generated
Hela__WT2,Hela,0.9980317,generated
Hela__WT1,Hela,0.99580103,generated
Hela__WT3,Hela,0.99856466,generated
Hela__KO2,Hela,0.9997571,generated
PANC-1__WT1,PANC-1,0.99797434,generated
Hela__WT1,Hela,0.9997614,generated
Hela__WT3,Hela,0.99914336,generated
PANC-1__WT3,PANC-1,0.9982572,generated
PANC-1__OE1,PANC-1,0.9976548,generated
Hela__WT3,Hela,0.9998572,generated
PANC-1__OE3,PANC-1,0.99448013,generated
Hela__KO2,Hela,0.99811304,generated
PANC-1__OE3,PANC-1,0.99406505,generated
Hela__WT2,Hela,0.9989033,generated
Hela__WT3,Hela,0.99986565,generated
PANC-1__WT3,PANC-1,0.9991856,generated
Hela__WT1,Hela,0.99896395,generated
PANC-1__OE3,PANC-1,0.9979923,generated
PANC-1__WT1,PANC-1,0.99756646,generated
Hela__KO1,Hela,0.99995697,generated
PANC-1__WT1,PANC-1,0.9988813,generated
PANC-1__OE1,PANC-1,0.999076,generated
Hela__KO1,Hela,0.99912864,generated
Hela__WT3,Hela,0.99979085,generated
Hela__WT2,Hela,0.99726534,generated
Hela__WT1,Hela,0.9997187,generated
Hela__KO3,Hela,0.9991304,generated
Hela__KO1,Hela,0.9994779,generated
Hela__WT3,Hela,0.99962795,generated
PANC-1__OE2,PANC-1,0.99947804,generated
Hela__WT2,Hela,0.9998516,generated
Hela__KO2,Hela,0.99977595,generated
Hela__KO2,Hela,0.998591,generated
PANC-1__WT1,PANC-1,0.9942846,generated
Hela__KO1,Hela,0.99989223,generated
Hela__WT2,Hela,0.9998534,generated
PANC-1__OE1,PANC-1,0.99821633,generated
Hela__WT3,Hela,0.9996044,generated
Hela__KO3,Hela,0.99972826,generated
PANC-1__OE1,PANC-1,0.996572,generated
Hela__WT2,Hela,0.9990163,generated
PANC-1__OE2,PANC-1,0.99992144,generated
PANC-1__WT2,PANC-1,0.9970912,generated
Hela__KO2,Hela,0.99972683,generated
Hela__KO3,Hela,0.9999285,generated
Hela__KO3,Hela,0.99958426,generated
Hela__KO1,Hela,0.9991326,generated
PANC-1__WT3,PANC-1,0.9976809,generated
Hela__WT2,Hela,0.9977946,generated
Hela__KO3,Hela,0.99969876,generated
PANC-1__WT2,PANC-1,0.9961714,generated
Hela__WT2,Hela,0.99955565,generated
Hela__WT2,Hela,0.9982272,generated
PANC-1__OE3,PANC-1,0.98959434,generated
Hela__WT1,Hela,0.99960774,generated
PANC-1__OE2,PANC-1,0.9979048,generated
PANC-1__OE3,PANC-1,0.9964914,generated
Hela__WT3,Hela,0.99991953,generated
Hela__KO1,Hela,0.9998555,generated
Hela__KO1,Hela,0.9998184,generated
PANC-1__OE1,PANC-1,0.989527,generated
Hela__KO1,Hela,0.99953926,generated
Hela__KO2,Hela,0.99978346,generated
PANC-1__WT2,PANC-1,0.98327523,generated
PANC-1__OE3,PANC-1,0.9998473,generated
PANC-1__OE3,PANC-1,0.9989378,generated
Hela__WT3,Hela,0.99976784,generated
Hela__WT3,Hela,0.99916863,generated
Hela__KO3,Hela,0.9997987,generated
PANC-1__OE3,PANC-1,0.9997882,generated
PANC-1__WT1,PANC-1,0.99819106,generated
Hela__KO1,Hela,0.9996107,generated
PANC-1__WT1,PANC-1,0.9978447,generated
Hela__WT1,Hela,0.9980944,generated
Hela__WT3,Hela,0.9995573,generated
Hela__KO1,Hela,0.99988616,generated
Hela__WT2,Hela,0.99926883,generated
Hela__KO1,Hela,0.99676466,generated
Hela__WT1,Hela,0.9995173,generated
PANC-1__WT3,PANC-1,0.99782985,generated
Hela__KO2,Hela,0.99950266,generated
Hela__WT2,Hela,0.9999571,generated
Hela__KO1,Hela,0.9912726,generated
PANC-1__WT3,PANC-1,0.9888786,generated
Hela__WT3,Hela,0.99980944,generated
Hela__WT1,Hela,0.99978834,generated
PANC-1__WT1,PANC-1,0.9995091,generated
Hela__WT2,Hela,0.9994124,generated
Hela__WT1,Hela,0.9999144,generated
Hela__KO2,Hela,0.9995234,generated
PANC-1__OE3,PANC-1,0.99757344,generated
PANC-1__OE3,PANC-1,0.99882084,generated
Hela__WT1,Hela,0.99749434,generated
Hela__WT1,Hela,0.9988224,generated
Hela__WT2,Hela,0.99973303,generated
PANC-1__WT1,PANC-1,0.99738795,generated
Hela__WT3,Hela,0.99926454,generated
Hela__WT3,Hela,0.9999589,generated
PANC-1__OE2,PANC-1,0.9988809,generated
Hela__KO1,Hela,0.99977833,generated
Hela__WT1,Hela,0.99991953,generated
Hela__WT1,Hela,0.99970955,generated
Hela__WT2,Hela,0.99986374,generated
Hela__WT2,Hela,0.9996965,generated
